,premise,hypothesis,label
140091,코를 문지르고 분수대에 동전을 던지면 피렌체로 돌아가고 싶은 소원이 이뤄진다고 한다,피렌체로 돌아가려면 코를 문지르고 분수에 동전을 던져야 한다고 한다.,entailment
258829,코를 문지르고 분수대에 동전을 던지면 피렌체로 돌아가고 싶은 소원이 이뤄진다고 한다,그들은 분수가 당신이 무엇을 하든 전혀 소원을 들어주지 않는다고 말한다.,contradiction
94030,훈련의 질 등 문제에 관심을 끄는 효과적인 방법이다,이것은 훈련 품질 실수를 지적하는 가장 좋은 방법임이 입증되었습니다.,neutral
212572,훈련의 질 등 문제에 관심을 끄는 효과적인 방법이다,우리의 훈련 프로그램은 100% 정확도를 가지고 있습니다.,contradiction
275438,훈련의 질 등 문제에 관심을 끄는 효과적인 방법이다,"주의가 필요한 문제들이 있다; 예를 들어, 훈련 품질.",entailment
128243,깊이 있는 주제는 아니지만 당신과 대화하는 것을 즐겼다,"나는 너와 이야기하는 것이 재미있다고 생각했지만, 내 수줍음은 때때로 우리가 즐겁고 피상적인 대화를 넘어서는 것을 멈추게 한다고 생각해.",neutral
282780,깊이 있는 주제는 아니지만 당신과 대화하는 것을 즐겼다,나는 너와 함께 이 주제의 복잡성을 검토하는 것이 정말 즐거웠다.,contradiction
298059,깊이 있는 주제는 아니지만 당신과 대화하는 것을 즐겼다,"우리는 정말 아무 것도 하지 않았지만, 너와 이야기하는 것은 좋았다.",entailment
52369,그 결과 이러한 프로그램들은 전쟁 전사에게 능력을 전달하는 데 있어서 지연뿐만 아니라 획득 비용의 상당한 증가에 직면했다,"결과적으로, 이러한 프로그램은 전달 지연뿐만 아니라 비용을 크게 증가 시켰습니다.",entailment
150812,그 결과 이러한 프로그램들은 전쟁 전사에게 능력을 전달하는 데 있어서 지연뿐만 아니라 획득 비용의 상당한 증가에 직면했다,"그 결과, 이 프로그램들은 200만 달러의 초과 자금을 가지고 있었다.",contradiction
151800,그 결과 이러한 프로그램들은 전쟁 전사에게 능력을 전달하는 데 있어서 지연뿐만 아니라 획득 비용의 상당한 증가에 직면했다,"이 프로그램들은 전달 지연뿐만 아니라 비용도 크게 증가했고, 그래서 이제 전투기는 6개월 지연될 것이다.",neutral
25385,이 믿음에 따르면 술과 담배는 금지되어 있다,알코올과 담배는 이 믿음에 의해 금지되어 있다.,entailment
79680,이 믿음에 따르면 술과 담배는 금지되어 있다,금지된 악덕은 사람들이 이 신앙에 대해 싫어하는 유일한 것이다.,neutral
251922,이 믿음에 따르면 술과 담배는 금지되어 있다,"그의 믿음에 따르면, 그들은 자유롭게 술과 담배를 소비할 수 있다.",contradiction
167022,동정적인 유대감이 순식간에 형성되는 것 같았다,그 채권은 형성된 후 8년 동안 지속되었다.,neutral
333889,동정적인 유대감이 순식간에 형성되는 것 같았다,불친절한 유대감이 형성되려면 시간이 오래 걸리는 것 같았다.,contradiction
383716,동정적인 유대감이 순식간에 형성되는 것 같았다,동정을 바탕으로 즉시 유대감이 형성되었다.,entailment
19057,어디 있는지 아는 사람 있어,그 맛을 아는 사람이 있나요?,contradiction
271777,어디 있는지 아는 사람 있어,그 장소에 대해 아는 사람이 있나요?,entailment
304302,어디 있는지 아는 사람 있어,이 방에 있는 사람이 어디에 있는지 말할 수 있을까?,neutral
122929,이 그래프는 3a를 할인해 최대 300억개의 공급이 증가하는 것을 보여준다,그래프에는 최대 300억 조각이 표시되어 있다.,entailment
327491,이 그래프는 3a를 할인해 최대 300억개의 공급이 증가하는 것을 보여준다,그래프에는 지난 5년간의 데이터가 들어 있습니다.,neutral
358674,이 그래프는 3a를 할인해 최대 300억개의 공급이 증가하는 것을 보여준다,그래프는 공급 감소를 보여줍니다.,contradiction
2529,Recourse  금융상품대출 등을 적법하게 진행하는 소유자의 권리는 제작자나 수용자에 의해 불명예스러운 경우 증서의 지불을 위해 보증인에게 자신의 법적 의무를 이행하도록 강요한다,금융상품의 보증인은 권리자에게 지불할 의무가 없다.,contradiction
222798,Recourse  금융상품대출 등을 적법하게 진행하는 소유자의 권리는 제작자나 수용자에 의해 불명예스러운 경우 증서의 지불을 위해 보증인에게 자신의 법적 의무를 이행하도록 강요한다,Recourse는 금융상품 보유자가 소유한 법적 권리다.,entailment
281145,Recourse  금융상품대출 등을 적법하게 진행하는 소유자의 권리는 제작자나 수용자에 의해 불명예스러운 경우 증서의 지불을 위해 보증인에게 자신의 법적 의무를 이행하도록 강요한다,금융상품의 보증인은 그들이 선택한 통화로 지불을 제공할 수 있다.,neutral
184030,1812년의 전쟁은 축적된 미국의 불만에 의해 촉진되었다,1812년의 전쟁은 대략 4주 동안 지속되었다.,neutral
229872,1812년의 전쟁은 축적된 미국의 불만에 의해 촉진되었다,미국의 행복은 1812년의 전쟁을 가져왔다.,contradiction
232882,1812년의 전쟁은 축적된 미국의 불만에 의해 촉진되었다,미국에서 열린 슬픔은 1812년 전쟁을 일으킨 화재를 촉발시켰다.,entailment
68429,5 그리고 16까지 올라갈 수 있다,5% 내지 50만0000%.,contradiction
134880,5 그리고 16까지 올라갈 수 있다,5~16%.,entailment
342690,5 그리고 16까지 올라갈 수 있다,5%에서 시작하지만 15%까지 오를 수 있다.,neutral
24630,그녀는 달리고 달리면서 그들에게 도착했을 때 완전히 회복되지 않았다,"그녀가 그들에게 다가갔을 때, 그녀는 아주 멀쩡했고, 천천히 가장 높은 곳을 향해 걸어갔다.",contradiction
211223,그녀는 달리고 달리면서 그들에게 도착했을 때 완전히 회복되지 않았다,"그녀는 그들에게 연락하기 위해 달려갔고, 그럴 때 회복되지 않았다.",entailment
376696,그녀는 달리고 달리면서 그들에게 도착했을 때 완전히 회복되지 않았다,그녀는 그들에게 도착하기 전에 몇 시간 동안 달리고 있었다.,neutral
116542,속임수와 속임수로 존이 말했다,존은 모든 것이 진실하고 솔직했다고 말했다.,contradiction
181215,속임수와 속임수로 존이 말했다,존은 거짓말이 관련되어 있었다고 말했다.,entailment
349176,속임수와 속임수로 존이 말했다,존은 모든 사람에게 거짓말을 했다고 말했다.,neutral
28086,아주 좋은 의미입니다,이치에 맞을 뿐이다.,neutral
208422,아주 좋은 의미입니다,말이 안 된다.,contradiction
216542,아주 좋은 의미입니다,그건 상식입니다.,entailment
227937,그러나 티베트 골동품과 다른 티베트 기념품을 전문으로하는 수십 개의 상점이 있습니다,많은 상점들이 티베트 골동품과 기념품을 판매한다.,entailment
324225,그러나 티베트 골동품과 다른 티베트 기념품을 전문으로하는 수십 개의 상점이 있습니다,티베트 골동품은 어떤 가게에서도 판매되지 않는다.,contradiction
365065,그러나 티베트 골동품과 다른 티베트 기념품을 전문으로하는 수십 개의 상점이 있습니다,티베트 골동품을 파는 가게들은 한 거리에서 발견된다.,neutral
164481,LSC는 미시간에서 이전 재구성 결정을 1년 동안 검토하는 과정에 있다,LSC는 현재 미시간에 위치한 어떤 것도 검토하지 않고 있다.,contradiction
305567,LSC는 미시간에서 이전 재구성 결정을 1년 동안 검토하는 과정에 있다,LSC는 그들의 계획이 좋은 계획인지 알아보기 위해 1년 동안 검토를 하고 있다.,neutral
171202,그녀는 통신 코드의 정확한 위치에 주목했다,"그녀는 어떤 통신 코드도 볼 수 없었고, 모든 것이 무선이었다.",contradiction
38117,뷰캐넌은 다우드의 제안에서 가장 진실이 위험할 정도로 진실에 가깝다는 것을 알게 된다,다우드의 관점은 부차난에게 진실을 근사화하는 새로운 통찰력을 준다.,entailment
241171,뷰캐넌은 다우드의 제안에서 가장 진실이 위험할 정도로 진실에 가깝다는 것을 알게 된다,다우드는 뷰캐넌이 부족한 주제에 대해 흥미로운 견해를 가지고 있다.,neutral
313531,뷰캐넌은 다우드의 제안에서 가장 진실이 위험할 정도로 진실에 가깝다는 것을 알게 된다,뷰캐넌은 다우드의 견해에 크게 동의하지 않는다.,contradiction
29687,우리에게 주면 우리는 이 쇼를 피할 수 있다,그 물건을 우리에게 주세요.,entailment
233517,우리에게 주면 우리는 이 쇼를 피할 수 있다,넌 그냥 그걸 가지고 있어야 해!,contradiction
368586,우리에게 주면 우리는 이 쇼를 피할 수 있다,무기를 우리에게 주시오.,neutral
27628,왜 하워드 양은 17일에 쓰여진 편지를 억압하고 대신 이 가짜 편지를 생산하는가,왜 진짜 편지는 하워드 양에게 숨겨져야 하는가?,entailment
50161,왜 하워드 양은 17일에 쓰여진 편지를 억압하고 대신 이 가짜 편지를 생산하는가,하워드 양은 원본에 우리가 알면 안 되는 정보가 들어 있기 때문에 가짜 편지를 만드는가?,neutral
380036,왜 하워드 양은 17일에 쓰여진 편지를 억압하고 대신 이 가짜 편지를 생산하는가,하워드 양은 왜 그 편지를 속이려고 애를 쓰면서도 우리에게 진짜 편지를 보여줄까?,contradiction
216258,인터넷 사용과 같이,인터넷 사용은 그 줄이 무엇을 취하고 있는지 보여주는 예가 아니다.,contradiction
301098,인터넷 사용과 같이,인터넷 사용은 그 줄이 기술하고 있는 것의 한 예다.,entailment
376437,인터넷 사용과 같이,인터넷 사용은 아이가 감독 없이 사용한다면 아이의 마음을 손상시킬 수 있다.,neutral
71572,아주 예쁘다,믿을 수 없을 정도로 추하다.,contradiction
134184,아주 예쁘다,꽤 아름다워.,entailment
343913,아주 예쁘다,새벽의 꽃밭은 매우 예쁘다.,neutral
13482,2001년 잭슨에서 발생한 12건의 살인 중 5건의 가정폭력이 발생했다고 경찰이 밝혔다,경찰에 따르면 2001년 잭슨에서 발생한 12건의 살인 중 3건만이 가정폭력 사건이었다.,contradiction
351406,2001년 잭슨에서 발생한 12건의 살인 중 5건의 가정폭력이 발생했다고 경찰이 밝혔다,12건의 살인 중 5건이 가정폭력의 사례라는 통계는 다른 도시와 주의 추세와 일치한다.,neutral
384363,2001년 잭슨에서 발생한 12건의 살인 중 5건의 가정폭력이 발생했다고 경찰이 밝혔다,경찰은 2001년 잭슨에서 발생한 12건의 살인 중 5건이 가정폭력 사건이라고 밝혔다.,entailment
85952,그래서 우리는 꽤 좋은 크기의 정원을 가지고 있습니다,우리 정원은 작다.,contradiction
285461,그래서 우리는 꽤 좋은 크기의 정원을 가지고 있습니다,우리 정원은 꽤 크다.,entailment
303668,그래서 우리는 꽤 좋은 크기의 정원을 가지고 있습니다,우리 정원은 10000평방피트이다.,neutral
222221,뉴욕을 제외하고 프로그램이나 주 이니셔티브에 대한 정보는 제공되지 않는다,뉴욕 주 이니셔티브에 대한 정보는 일주일 전에 제공되었다.,neutral
349350,뉴욕을 제외하고 프로그램이나 주 이니셔티브에 대한 정보는 제공되지 않는다,뉴욕 주 이니셔티브에 대한 정보가 제공되었다.,entailment
60798,국세청장은 일반적으로 이 보고서 초안의 내용에 동의하는 서면 의견을 제공했다,위원은 가끔 바보 같은 나비 넥타이를 매는 것을 좋아한다.,neutral
271920,국세청장은 일반적으로 이 보고서 초안의 내용에 동의하는 서면 의견을 제공했다,위원은 글을 쓸 줄 모른다.,contradiction
339682,국세청장은 일반적으로 이 보고서 초안의 내용에 동의하는 서면 의견을 제공했다,국세청장은 초안의 내용에 동의하는 서면 논평을 제공했다.,entailment
49579,그래 그리고 둘도 86이야 그래서 그래,두 86은 어떤 식으로든 관여하지 않는다.,contradiction
156431,그래 그리고 둘도 86이야 그래서 그래,"네, 그리고 그 둘은 86도요.",entailment
283615,그래 그리고 둘도 86이야 그래서 그래,두 86도 그것의 일부분이다.,neutral
44966,그러나 배우들과 영화는 대부분의 홍보를 이끌어냈다,그 배우들은 어떠한 홍보도 하지 않았다.,contradiction
240335,그러나 배우들과 영화는 대부분의 홍보를 이끌어냈다,그 영화의 배우들은 사랑받고 호평을 받는다.,neutral
326103,그러나 배우들과 영화는 대부분의 홍보를 이끌어냈다,승진의 대부분은 배우들이 끌어들였다.,entailment
219054,그들은 큰가,그들은 작나요?,contradiction
226479,그들은 큰가,그들은 큰가요?,entailment
379179,그들은 큰가,그들은 얼마나 큰가?,neutral
130545,그것은 땅속에서 떨렸다,그것은 땅 위에서 떨리고 있었다.,entailment
136509,그것은 땅속에서 떨렸다,"그것이 땅 위에서 떨리는 동안, 그것은 또한 훌쩍거렸다.",neutral
384172,그것은 땅속에서 떨렸다,그것은 땅에 힘을 모았다.,contradiction
39558,우리는 또한 고용 과정을 간소화하고 신속히 하기 위한 조치를 취했다,우리는 그 어느 때보다도 채용 과정을 포괄적으로 만들려고 시도했다.,contradiction
133841,우리는 또한 고용 과정을 간소화하고 신속히 하기 위한 조치를 취했다,채용 절차는 후보자 면접을 없앰으로써 간소화되었다.,neutral
142486,우리는 또한 고용 과정을 간소화하고 신속히 하기 위한 조치를 취했다,우리의 고용 과정을 가속화하기 위한 노력이 이루어졌다.,entailment
132236,평소의 자신감 때문에 그녀는 버림받았다,그녀의 평범한 허세는 그녀를 떠났다.,entailment
233338,평소의 자신감 때문에 그녀는 버림받았다,그녀의 일상적인 대담함은 그녀를 위협하는 메시지를 받았기 때문에 그녀를 떠났다.,neutral
299903,평소의 자신감 때문에 그녀는 버림받았다,그녀는 언제나처럼 자신만만했다,contradiction
235968,알프가 아니라,반.,contradiction
305820,알프가 아니라,반도 안 돼.,entailment
340387,알프가 아니라,반 이상이지만 반은 아니다.,neutral
179900,그리고 그것이 공식적으로 다였다,그것이 공식적으로 마지막 지푸라기였다.,neutral
200240,그리고 그것이 공식적으로 다였다,나는 여전히 더 필요했다.,contradiction
311998,그리고 그것이 공식적으로 다였다,그게 다였다.,entailment
179696,비평가들은 반대쪽에 줄을 서 있다,비평가들은 두 개의 반대 노선을 형성한다.,entailment
268240,비평가들은 반대쪽에 줄을 서 있다,비평가들은 하나의 긴 줄을 형성한다.,contradiction
375904,비평가들은 반대쪽에 줄을 서 있다,선들이 서로 마주보고 있다.,neutral
246669,내가 들어본 것 중에 최악이야,나는 살면서 그것보다 더 나쁜 말을 많이 들었다.,contradiction
278337,내가 들어본 것 중에 최악이야,나는 전에 그것보다 더 나쁜 소리를 들어본 적이 없다.,entailment
355278,내가 들어본 것 중에 최악이야,나는 내가 더 나쁜 소리를 들었다는 것을 잊어버렸다.,neutral
54123,꽤 충격적이었습니다,믿을 수 없을 정도로 놀랐다.,entailment
184235,꽤 충격적이었습니다,다행히도 놀랐다.,neutral
371959,꽤 충격적이었습니다,전혀 놀라지 않았다.,contradiction
214373,그래 그래 그래 깜짝 놀랄만한 일이지,모든 사람들과 그들의 어머니는 그것이 오는 것을 보았다.,neutral
265799,그래 그래 그래 깜짝 놀랄만한 일이지,나는 내가 놀랐다고 말할 수 없다.,entailment
279765,그래 그래 그래 깜짝 놀랄만한 일이지,나는 일어난 일에 정말 충격을 받았다.,contradiction
95194,그 이후로 그는 코치 외에는 아무것도 할 수 없었다,그는 과거에 사고를 당했다.,neutral
118648,그 이후로 그는 코치 외에는 아무것도 할 수 없었다,그는 코치만 할 수 있다.,entailment
382562,그 이후로 그는 코치 외에는 아무것도 할 수 없었다,그는 여러 가지 직업을 가지고 있다.,contradiction
194967,너의 편지는 정말 애매하다,그 편지는 애매하다.,entailment
266947,너의 편지는 정말 애매하다,너의 편지는 똑똑하고 간결하다.,contradiction
363024,너의 편지는 정말 애매하다,그 편지는 서투른 필체로 쓰여졌다.,neutral
283555,그들은 정부가 그 조치를 승인한 것에 대해 처벌하기를 원한다고 의심했다,그들은 정부를 싫어했고 반대했다.,neutral
329134,그들은 정부가 그 조치를 승인한 것에 대해 처벌하기를 원한다고 의심했다,그들은 정부가 그들을 승인한 것에 대해 처벌하기를 원한다고 생각했다.,entailment
190433,마드리드에서는 우아함과 정교함의 첫 번째이자 마지막 단어였다,마드리드는 우아하고 세련되었다.,entailment
338623,마드리드에서는 우아함과 정교함의 첫 번째이자 마지막 단어였다,마드리드에는 좋은 점이 없다.,contradiction
375792,마드리드에서는 우아함과 정교함의 첫 번째이자 마지막 단어였다,마드리드는 다양한 문화를 가지고 있다.,neutral
17225,그들을 돕다,그들을 돕는 것.,entailment
65176,그들을 돕다,그들과 긴밀히 협력하는 것,neutral
245773,그들을 돕다,그들의 노력을 좌절시키기 위해.,contradiction
364,그는 음탕하고 이상했다,그는 평범한 태도를 가지고 있었다.,contradiction
153459,그는 음탕하고 이상했다,그는 이상한 태도를 보였다고 수사관이 말했다.,neutral
196524,그는 음탕하고 이상했다,그는 이상한 태도를 보였다.,entailment
15951,나는 반대 의견을 말했다,나는 우리가 그것들을 토론할 수 있도록 반대되는 관점을 원했다.,neutral
313640,나는 반대 의견을 말했다,나는 반대되는 관점을 원했다.,entailment
314809,나는 반대 의견을 말했다,나는 비슷한 관점을 원한다.,contradiction
83173,이 문에 대한 자세한 내용은 J에게 문의하십시오,이 진술에 대해 더 많은 정보를 얻을 수 있습니다.,entailment
210294,이 문에 대한 자세한 내용은 J에게 문의하십시오,이 문에 대한 자세한 정보를 얻을 수 없습니다.,contradiction
313678,이 문에 대한 자세한 내용은 J에게 문의하십시오,당신은 웹사이트에서 이 진술에 대한 더 많은 정보를 얻을 수 있다.,neutral
141868,거기서 문의하는 게 좋겠어요,여기엔 문의가 없었다. 그것은 개방적이고 폐쇄적인 사건이었다.,contradiction
226943,거기서 문의하는 게 좋겠어요,이 센터는 모든 관련 문의의 정보 센터입니다,neutral
226424,고용주 기업은 실업급여와 근로자보상금을 지급한다,실업급여와 보상은 고용주가 지급한다.,entailment
328532,고용주 기업은 실업급여와 근로자보상금을 지급한다,고용주는 직원 기부금과 일치한다.,neutral
340973,고용주 기업은 실업급여와 근로자보상금을 지급한다,고용주들은 실업급여에 기여하지 않는다.,contradiction
75278,마르타는 1895년에 시작되어 약 30만 명의 쿠바 인이 사망한 독립 전쟁 중 매복으로 사망했습니다,독립 전쟁 동안 10만 명의 쿠바인들이 죽었다.,contradiction
329254,마르타는 1895년에 시작되어 약 30만 명의 쿠바 인이 사망한 독립 전쟁 중 매복으로 사망했습니다,독립 전쟁 동안 30만 명의 쿠바인들이 죽었다.,entailment
342920,마르타는 1895년에 시작되어 약 30만 명의 쿠바 인이 사망한 독립 전쟁 중 매복으로 사망했습니다,독립전쟁 동안 30만 명의 쿠바인들이 전투 때문에 죽었다.,neutral
54123,꽤 충격적이었습니다,믿을 수 없을 정도로 놀랐다.,entailment
184235,꽤 충격적이었습니다,다행히도 놀랐다.,neutral
371959,꽤 충격적이었습니다,전혀 놀라지 않았다.,contradiction
65409,여기는 정말 더워요,여기는 매우 따뜻해집니다.,entailment
194003,여기는 정말 더워요,습도 때문에 정말 더워요.,neutral
50705,Schor는 소비주의를 악으로 보기 때문에 소비하지 않는 것으로 정의되는 사람들을 축하한다,Schor는 소비주의가 미국의 중요한 부분이라고 생각한다.,contradiction
286581,Schor는 소비주의를 악으로 보기 때문에 소비하지 않는 것으로 정의되는 사람들을 축하한다,Schor는 소비주의가 점점 심해지고 있다고 생각한다.,neutral
382354,Schor는 소비주의를 악으로 보기 때문에 소비하지 않는 것으로 정의되는 사람들을 축하한다,Schor는 소비주의가 악하다고 생각한다.,entailment
52350,헉슬리의 주장에는 반박하기 어려운 속임수가 있다,그 속임수 덕분에 헉슬리의 주장을 반박하기는 어렵다.,entailment
122119,헉슬리의 주장에는 반박하기 어려운 속임수가 있다,그 속임수 덕분에 헉슬리의 주장을 반박하기 쉽다.,contradiction
242415,헉슬리의 주장에는 반박하기 어려운 속임수가 있다,"그 속임수 덕분에 헉슬리의 주장을 반박하기는 어렵다""고 선생님은 말했다.",neutral
158440,안에는 비둘기들이 카르민 가루로 뒤덮인 구루 고라크나스의 이미지에 제물로 남겨진 쌀알을 쪼고 있다,라이스는 고라크나트의 이미지를 구루하는 제물로 남겨져 있다.,entailment
207572,안에는 비둘기들이 카르민 가루로 뒤덮인 구루 고라크나스의 이미지에 제물로 남겨진 쌀알을 쪼고 있다,수도사들은 비둘기의 배설물을 치우기 위해 매일 안으로 바닥을 씻는다.,neutral
317670,안에는 비둘기들이 카르민 가루로 뒤덮인 구루 고라크나스의 이미지에 제물로 남겨진 쌀알을 쪼고 있다,비둘기는 그곳에서 먹을 것이 없기 때문에 안으로 들어가지 않는다.,contradiction
108812,그녀에게는 의심의 여지가 없다,그녀는 우리가 의심하는 마지막 사람이었다.,entailment
241246,그녀에게는 의심의 여지가 없다,"그녀는 항상 우리와 함께 있었고, 우리는 결코 우리의 가장 엉뚱한 꿈에서 그녀가 이것에 관여했다고 추측하지 않을 것이다.",neutral
378606,그녀에게는 의심의 여지가 없다,그녀는 항상 변덕스러웠기 때문에 우리는 그녀를 경계했다.,contradiction
167788,우리는 음식과 피난처만을 요구합니다,우리가 요구하는 것은 눈보라로부터 음식과 피난처뿐이다.,neutral
172972,우리는 음식과 피난처만을 요구합니다,우리가 요구하는 것은 먹을 것과 머물 곳뿐이다.,entailment
291703,우리는 음식과 피난처만을 요구합니다,우리는 우리만의 음식과 은신처를 가지고 있고 당신의 음식은 필요하지 않다.,contradiction
162086,메릴은 브로드웨이와 할리우드로 이사했다,메릴은 가르치기 위해 할리우드로 이사했다.,neutral
190913,메릴은 브로드웨이와 할리우드로 이사했다,메릴은 특정 장소로 이사했다.,entailment
255146,메릴은 브로드웨이와 할리우드로 이사했다,메릴은 그녀가 있는 곳에 머물렀다.,contradiction
89723,자세한 내용은 wwwnapilorg에서 확인할 수 있다,추가 정보를 찾을 수 있습니다.,entailment
235319,자세한 내용은 wwwnapilorg에서 확인할 수 있다,그 웹사이트는 읽기 쉽다.,neutral
336049,자세한 내용은 wwwnapilorg에서 확인할 수 있다,인터넷에는 더 많은 정보가 포함되어 있지 않다.,contradiction
22757,티탄들이 충돌하는 것을 보기 위해서입니다,티탄들 사이에 충돌은 없었다.,contradiction
182218,티탄들이 충돌하는 것을 보기 위해서입니다,티탄 놀이의 충돌은 내일 밤 열릴 것이다.,neutral
374749,티탄들이 충돌하는 것을 보기 위해서입니다,티탄들 사이에 충돌이 있었다.,entailment
70349,경쟁자들은 충족되지 않은 메일러의 요구를 충족시킬 수 있는 기회에 뛰어들 것이다,충족되지 않는 요구는 충족되어야 한다,neutral
141677,경쟁자들은 충족되지 않은 메일러의 요구를 충족시킬 수 있는 기회에 뛰어들 것이다,아무도 충족되지 않은 요구를 충족시키고 싶어하지 않는다,contradiction
257948,경쟁자들은 충족되지 않은 메일러의 요구를 충족시킬 수 있는 기회에 뛰어들 것이다,경쟁자들은 우편으로 충족되지 않은 요구를 충족시키고 싶어할 것이다.,entailment
85716,예를 들어 다른 사람들은 개인 관행에 참여하거나 주 술집을 통과하지 못한 후 떠났다고 그는 말했다,이 시점에서 아직 교육을 마치지 못했기 때문에 개인 연습에 참여하기 위해 남겨진 사람은 없었습니다.,contradiction
166967,예를 들어 다른 사람들은 개인 관행에 참여하거나 주 술집을 통과하지 못한 후 떠났다고 그는 말했다,대다수의 사람들이 다른 직업을 시도하고 싶어서 떠났다.,neutral
380524,예를 들어 다른 사람들은 개인 관행에 참여하거나 주 술집을 통과하지 못한 후 떠났다고 그는 말했다,"어떤 사람들은 주 술집에 실패했기 때문에, 혹은 사적인 관행에 참여하기를 원했기 때문에 떠났다.",entailment
99730,그 주변에서 가장 유익한 것은 당신의 혈액순환을 좋게 한다,그것은 매우 건강합니다.,neutral
226314,그 주변에서 가장 유익한 것은 당신의 혈액순환을 좋게 한다,그것은 순환을 증가시키는데 좋다.,entailment
261828,그 주변에서 가장 유익한 것은 당신의 혈액순환을 좋게 한다,그것은 유통에 좋지 않다.,contradiction
285919,홍콩에는 40개 이상의 해변이 있는데 이 해변은 대중에게 무료다,홍콩에는 개인 해변만 있습니다.,contradiction
287654,홍콩에는 40개 이상의 해변이 있는데 이 해변은 대중에게 무료다,홍콩에는 40개 이상의 공공 해변이 있다.,entailment
344353,홍콩에는 40개 이상의 해변이 있는데 이 해변은 대중에게 무료다,홍콩의 40개 해변만이 일반인들이 접근할 수 있다.,neutral
196199,그들은 아침에 라디오에서 경연대회를 열었고 나는 내가 영화 미스터리 경연대회에서 한 번 우승했다고 생각한다,아침에는 전파를 놓고 경연대회가 열린다.,entailment
210182,그들은 아침에 라디오에서 경연대회를 열었고 나는 내가 영화 미스터리 경연대회에서 한 번 우승했다고 생각한다,그 대회에는 당신의 사무실에 100상자의 도넛이 있다.,neutral
213903,그들은 아침에 라디오에서 경연대회를 열었고 나는 내가 영화 미스터리 경연대회에서 한 번 우승했다고 생각한다,늦은 밤 라디오는 장난꾸러기 어른들을 위한 섹스 토크쇼를 진행한다.,contradiction
53204,나는 생각했다,나는 그가 내게 제안한 것에 대해 생각했다.,neutral
99739,나는 생각했다,나는 그 생각을 했다.,entailment
192782,나는 생각했다,나는 통행금지 구역에서 그 차량을 지나가는 것을 고려하고 있었다.,neutral
210529,나는 생각했다,나는 그것을 다시 생각하지도 않았다.,contradiction
231235,나는 생각했다,나는 그것을 고려하려고 하지 않았다.,contradiction
357321,나는 생각했다,나는 그것을 고려하고 있었다.,entailment
155644,프랑스는 국제적으로 첨단기술의 선두주자로 인정받고 있으며 이러한 발전에 자부심을 공유하게 되어 기쁘다,프랑스는 그들의 기술에 대한 이야기를 누구와도 공유하게 되어 기쁘다.,entailment
309056,프랑스는 국제적으로 첨단기술의 선두주자로 인정받고 있으며 이러한 발전에 자부심을 공유하게 되어 기쁘다,프랑스인들은 기술 발전에 매우 집중하고 있다.,neutral
309433,프랑스는 국제적으로 첨단기술의 선두주자로 인정받고 있으며 이러한 발전에 자부심을 공유하게 되어 기쁘다,프랑스는 첨단 기술 분야에서 뒤쳐져 있다.,contradiction
71594,이번에는 거대한 아이디어입니다,서사시적 비율에 대한 대담한 생각.,entailment
88191,이번에는 거대한 아이디어입니다,멋진 아이디어.,neutral
94540,이번에는 거대한 아이디어입니다,보잘것없는 생각.,contradiction
199376,우리가 배운 것을 최대한 활용하고 청정공기법을 현대화할 때다,우리는 청정공기법을 현대화할 수 있는 수많은 연구와 정보를 수집했다.,neutral
282751,우리가 배운 것을 최대한 활용하고 청정공기법을 현대화할 때다,청정 공기법을 현대화할 시간이다.,entailment
303786,우리가 배운 것을 최대한 활용하고 청정공기법을 현대화할 때다,우리는 청정공기법을 현대화할 충분한 정보를 가지고 있지 않다.,contradiction
139854,그것은 현행법에 의해 확립된 프로그램의 지속가능성을 평가하는 것과 관련이 있다,특정 조치는 기존 프로그램의 지속가능성을 평가하는 데 사용될 수 있다.,entailment
191771,그것은 현행법에 의해 확립된 프로그램의 지속가능성을 평가하는 것과 관련이 있다,법에 의해 확립된 프로그램의 지속가능성을 평가하는 것은 불가능하다.,contradiction
319060,그것은 현행법에 의해 확립된 프로그램의 지속가능성을 평가하는 것과 관련이 있다,순 지출은 프로그램의 지속가능성을 평가하는 것과 관련된 한 가지 조치다.,neutral
37984,그는 군중 중 한 명이었다,그는 다른 많은 사람들과 섞여 있었다.,entailment
365120,그는 군중 중 한 명이었다,그는 군중 속에서도 쉽게 눈에 띄었다.,neutral
381113,그는 군중 중 한 명이었다,그는 주위에 아무도 없는 채 완전히 혼자였다.,contradiction
255959,그는 이러한 우려는 윤리적 도덕적 함의가 아니라 법과 관련이 있다고 말했다,그는 이것에 대해 전혀 걱정하지 않았다.,contradiction
304544,그는 이러한 우려는 윤리적 도덕적 함의가 아니라 법과 관련이 있다고 말했다,그는 이 문제가 법률 법령에 관한 것이고 다른 것은 없다고 설명했다.,entailment
311216,그는 이러한 우려는 윤리적 도덕적 함의가 아니라 법과 관련이 있다고 말했다,윤리는 종종 따라야 할 단순한 법칙을 복잡하게 만든다.,neutral
84433,총기와 선거자금에 대해 그는 개혁을 정부의 통제라고 정의했다,그는 총기 개혁과 선거자금을 정부의 통제라고 정의했다.,entailment
177354,총기와 선거자금에 대해 그는 개혁을 정부의 통제라고 정의했다,그는 총기와 선거자금에 대해 강한 의견을 가지고 있다.,neutral
